identifier	name	type_path	token_path	freq_path	ref_static	default	algo	string	lang
rwrnc	Russian Wikipedia RNC	elmo/rwrnc_type.bin	models/rus_elmo	data/rwrnc_vocab.tsv.gz	ruscorpora_upos_skipgram_300_5_2018	True	elmo	contextual11	russian
nowiki	Norwegian Wikipedia	models/norwegian_elmo/avis_nowiki.bin	models/norwegian_elmo/217	models/norwegian_elmo/nor_freq.tsv.gz	naknowac_upos_skipgram_300_5_2017	False	elmo	contextual12	norwegian
